,solution,time in s,decisions,unit propagation steps
1,succ,16.7469002,3016844,6262749
2,succ,9.3057696,1672848,3541068
3,succ,17.3730115,3200772,6769192
4,succ,8.7911044,1485656,3448535
5,succ,17.3885482,3000414,6474593
6,succ,14.4395512,2241398,5381989
7,succ,17.607273,2905152,6686356
8,succ,15.344815700000002,2603014,5889721
9,succ,50.831519,8719654,18722225
10,succ,16.8588959,2534416,6119439
