,solution,time in s,decisions,unit propagation steps
1,succ,0.0967495,16759,34918
2,succ,16.8175634,3433887,6414819
3,succ,7.0076481,1203100,2835169
4,succ,49.032785,8441836,18766707
5,succ,11.8969783,2183486,4734572
6,succ,11.2100875,2041815,4355534
7,succ,0.1778301,31173,70124
8,succ,0.8789083,154506,329643
9,succ,4.3219083,859668,1674495
10,succ,0.4225143,74088,146296
