,solution,time in s,decisions,unit propagation steps
1,succ,389.8796903,72288096,147760908
2,succ,574.4259903,97114648,208383918
3,succ,341.2814765,62134493,122530919
4,succ,4222.7040149,752855066,1564574744
5,succ,609.4229471,109011256,247524960
